state_name;grade;subject;state_id;rural_score;rural_standard error;urban_score;urban_standard error;category
Goa;10;sci;30;219.92;0;238.98;0;0
Gujarat;10;sci;24;195.75;0;206.65;0;0
Haryana;10;sci;6;224.2;0;238.38;0;0
Himachal Pradesh;10;sci;2;199.57;0;222.82;0;0
Jammu & Kashmir;10;sci;1;206.74;0;237.57;0;0
Jharkhand;10;sci;20;200.28;0;214.21;0;0
Karnataka;10;sci;29;203.67;0;208.49;0;0
Kerala;10;sci;32;203.49;0;218.12;0;0
Ladakh;10;sci;37;217.64;0;217.96;0;0
Lakshadweep;10;sci;31;211.54;0;0;0;3
Madhya Pradesh;10;sci;23;204.64;0;208.14;0;0
Maharashtra;10;sci;27;194.84;0;208.67;0;0
Manipur;10;sci;14;215.62;0;226.77;0;0
Meghalaya;10;sci;17;187.28;0;207.91;0;0
Mizoram;10;sci;15;178.72;0;194.04;0;0
Nagaland;10;sci;13;195.65;0;209.16;0;0
Odisha;10;sci;21;198.57;0;224.68;0;0
Puducherry;10;sci;34;214.58;0;231.72;0;0
Punjab;10;sci;3;249.45;0;259.59;0;0
Rajasthan;10;sci;8;240.23;0;232.27;0;2
Sikkim;10;sci;11;196.66;0;207.74;0;0
Tamil Nadu;10;sci;33;194.18;0;197.42;0;0
Telangana;10;sci;36;191.24;0;209.69;0;0
Tripura;10;sci;16;192.47;0;212.27;0;0
Uttar Pradesh;10;sci;9;188.2;0;199.48;0;0
Uttarakhand;10;sci;5;204.21;0;212.69;0;0
West Bengal;10;sci;19;198.2;0;220.77;0;0
National Average;10;sci;0;203.88;0;218.37;0;3
Andaman & Nicobar Islands;10;sst;35;234.98;0;252.54;0;0
Andhra Pradesh;10;sst;28;221.08;0;238.22;0;0
Arunachal Pradesh;10;sst;12;238.23;0;241.91;0;0
Assam;10;sst;18;221.84;0;244.68;0;0
Bihar;10;sst;10;217.62;0;239.84;0;0
Chandigarh;10;sst;4;234.45;0;290.65;0;0
Chhattisgarh;10;sst;22;211.62;0;226.93;0;0
Dadra & Nagar Haveli;10;sst;26;210.46;0;230.68;0;0
Daman & Diu;10;sst;25;239.34;0;218.74;0;2
Delhi;10;sst;7;240.29;0;259.56;0;0
Goa;10;sst;30;244.19;0;265.82;0;0
Gujarat;10;sst;24;227.38;0;238.19;0;0
Haryana;10;sst;6;247.54;0;261.96;0;0
Himachal Pradesh;10;sst;2;227.26;0;256.51;0;0
Jammu & Kashmir;10;sst;1;223.96;0;260.7;0;0
Jharkhand;10;sst;20;226.49;0;241.83;0;0
Karnataka;10;sst;29;234.7;0;234.59;0;1
Kerala;10;sst;32;234.01;0;248.88;0;0
Ladakh;10;sst;37;229.06;0;250.58;0;0
Lakshadweep;10;sst;31;230.43;0;0;0;3
Madhya Pradesh;10;sst;23;224.99;0;234.23;0;0
Maharashtra;10;sst;27;226.48;0;239.6;0;0
Manipur;10;sst;14;243.72;0;250.07;0;0
Meghalaya;10;sst;17;211.49;0;229.99;0;0
Mizoram;10;sst;15;203.76;0;222.42;0;0
Nagaland;10;sst;13;232.86;0;246.66;0;0
Odisha;10;sst;21;220.78;0;248.43;0;0
Puducherry;10;sst;34;236.78;0;266.45;0;0
Punjab;10;sst;3;266.92;0;272.85;0;0
Rajasthan;10;sst;8;263.53;0;257.08;0;2
Sikkim;10;sst;11;235.56;0;242.62;0;0
Tamil Nadu;10;sst;33;221.78;0;225.57;0;0
Telangana;10;sst;36;216.91;0;232.81;0;0
Tripura;10;sst;16;218.64;0;242.61;0;0
Uttar Pradesh;10;sst;9;210.95;0;222.32;0;0
Uttarakhand;10;sst;5;227.77;0;236;0;0
West Bengal;10;sst;19;224.85;0;248.52;0;0
National Average;10;sst;0;229.26;0;245.03;0;3
