state_name;grade;subject;state_id;score;standard error;category
Tripura;8;language;16;303;1.3;1
Uttar Pradesh;8;language;9;286;0.2;0
Uttarakhand;8;language;5;308;0.8;2
West Bengal;8;language;19;315;0.4;2
National Average;8;language;0;302;0.1;3
Andaman & Nicobar Islands;8;math;35;247;3;0
Andhra Pradesh;8;math;28;250;0.4;0
Arunachal Pradesh;8;math;12;242;1.5;0
Assam;8;math;18;255;0.4;0
Bihar;8;math;10;262;0.3;2
Chandigarh;8;math;4;285;1.8;2
Chhattisgarh;8;math;22;237;0.4;0
Dadra & Nagar Haveli;8;math;26;247;3.7;1
Daman & Diu;8;math;25;251;3.8;1
Delhi;8;math;7;253;0.4;0
Goa;8;math;30;242;1.2;0
Gujarat;8;math;24;254;0.3;0
Haryana;8;math;6;272;0.5;2
Himachal Pradesh;8;math;2;247;0.8;0
Jammu & Kashmir;8;math;1;264;0.9;2
Jharkhand;8;math;20;256;0.4;1
Karnataka;8;math;29;251;0.3;0
Kerala;8;math;32;240;0.2;0
Ladakh;8;math;37;253;4.4;1
Lakshadweep;8;math;31;247;4.3;1
Madhya Pradesh;8;math;23;270;0.3;2
Maharashtra;8;math;27;250;0.2;0
Manipur;8;math;14;259;1.1;2
Meghalaya;8;math;17;232;0.8;0
Mizoram;8;math;15;240;1.7;0
Nagaland;8;math;13;238;1;0
Odisha;8;math;21;261;0.4;2
Puducherry;8;math;34;252;1.4;1
Punjab;8;math;3;297;0.6;2
Rajasthan;8;math;8;286;0.5;2
Sikkim;8;math;11;237;2;0
Tamil Nadu;8;math;33;237;0.3;0
Telangana;8;math;36;243;0.4;0
Tripura;8;math;16;252;1.2;0
Uttar Pradesh;8;math;9;247;0.2;0
Uttarakhand;8;math;5;253;0.7;0
West Bengal;8;math;19;258;0.4;2
National Average;8;math;0;255;0.1;3
Andaman & Nicobar Islands;8;sci;35;254;4.3;1
Andhra Pradesh;8;sci;28;237;0.4;0
Arunachal Pradesh;8;sci;12;249;2;1
Assam;8;sci;18;244;0.4;0
Bihar;8;sci;10;248;0.3;0
Chandigarh;8;sci;4;285;1.8;2
Chhattisgarh;8;sci;22;241;0.5;0
Dadra & Nagar Haveli;8;sci;26;246;4.8;1
Daman & Diu;8;sci;25;246;4;1
Delhi;8;sci;7;257;0.4;2
Goa;8;sci;30;259;1.6;2
Gujarat;8;sci;24;253;0.3;2
Haryana;8;sci;6;268;0.5;2
Himachal Pradesh;8;sci;2;253;1.1;2
Jammu & Kashmir;8;sci;1;270;1.1;2
Jharkhand;8;sci;20;250;0.4;1
Karnataka;8;sci;29;248;0.3;0
Kerala;8;sci;32;252;0.4;2
Ladakh;8;sci;37;257;5.9;1
Lakshadweep;8;sci;31;245;6.5;1
Madhya Pradesh;8;sci;23;258;0.3;2
Maharashtra;8;sci;27;248;0.3;0
Manipur;8;sci;14;262;1.2;2
Meghalaya;8;sci;17;229;1;0
Mizoram;8;sci;15;241;2.2;0
Nagaland;8;sci;13;246;1.4;1
Odisha;8;sci;21;253;0.4;2
Puducherry;8;sci;34;258;1.8;2
Punjab;8;sci;3;287;0.5;2
Rajasthan;8;sci;8;276;0.4;2
Sikkim;8;sci;11;248;3;1
Tamil Nadu;8;sci;33;232;0.3;0
Telangana;8;sci;36;235;0.4;0
Tripura;8;sci;16;252;1.4;1
Uttar Pradesh;8;sci;9;237;0.2;0
Uttarakhand;8;sci;5;250;0.7;1
West Bengal;8;sci;19;260;0.4;2
National Average;8;sci;0;250;0.1;3
Andaman & Nicobar Islands;8;sst;35;246;3.7;0
Andhra Pradesh;8;sst;28;239;0.4;0
Arunachal Pradesh;8;sst;12;249;2;0
Assam;8;sst;18;256;0.5;2
Bihar;8;sst;10;257;0.3;2
Chandigarh;8;sst;4;287;1.9;2
Chhattisgarh;8;sst;22;242;0.5;0
Dadra & Nagar Haveli;8;sst;26;249;4.1;1
Daman & Diu;8;sst;25;244;4.1;0
Delhi;8;sst;7;254;0.4;1
Goa;8;sst;30;249;1.4;0
Gujarat;8;sst;24;255;0.3;1
Haryana;8;sst;6;268;0.5;2
Himachal Pradesh;8;sst;2;253;1;1
Jammu & Kashmir;8;sst;1;267;1;2
Jharkhand;8;sst;20;254;0.5;1
Karnataka;8;sst;29;256;0.3;2
Kerala;8;sst;32;250;0.3;0
Ladakh;8;sst;37;261;5.4;1
Lakshadweep;8;sst;31;244;6.5;1
Madhya Pradesh;8;sst;23;264;0.3;2
Maharashtra;8;sst;27;257;0.3;2
Manipur;8;sst;14;259;1.2;2
Meghalaya;8;sst;17;231;1;0
Mizoram;8;sst;15;242;2.1;0
Nagaland;8;sst;13;253;1.4;1
Odisha;8;sst;21;255;0.4;1
Puducherry;8;sst;34;256;1.6;1
Punjab;8;sst;3;288;0.5;2
Rajasthan;8;sst;8;288;0.5;2
Sikkim;8;sst;11;247;2.6;0
Tamil Nadu;8;sst;33;237;0.3;0
Telangana;8;sst;36;235;0.4;0
Tripura;8;sst;16;257;1.3;1
Uttar Pradesh;8;sst;9;244;0.2;0
Uttarakhand;8;sst;5;253;0.7;0
West Bengal;8;sst;19;265;0.4;2
National Average;8;sst;0;255;0.1;3
Andaman & Nicobar Islands;10;eng;35;310;5.4;2
Andhra Pradesh;10;eng;28;291;0.5;2
Arunachal Pradesh;10;eng;12;305;3;2
Assam;10;eng;18;270;0.5;0
Bihar;10;eng;10;259;0.3;0
Chandigarh;10;eng;4;345;2.6;2
Chhattisgarh;10;eng;22;257;0.4;0
Dadra & Nagar Haveli;10;eng;26;262;3.2;0
Daman & Diu;10;eng;25;285;6.3;1
Delhi;10;eng;7;321;0.6;2
Goa;10;eng;30;338;2.9;2
Gujarat;10;eng;24;271;0.3;0
Haryana;10;eng;6;304;0.5;2
Himachal Pradesh;10;eng;2;291;1.3;2
Jammu & Kashmir;10;eng;1;296;1.1;2
Jharkhand;10;eng;20;269;0.4;0
Karnataka;10;eng;29;283;0.4;2
Kerala;10;eng;32;300;0.5;2
Ladakh;10;eng;37;305;7.7;2
Lakshadweep;10;eng;31;290;13;1
Madhya Pradesh;10;eng;23;273;0.3;0
Maharashtra;10;eng;27;286;0.3;2
Manipur;10;eng;14;311;1.8;2
Meghalaya;10;eng;17;278;2;1
Mizoram;10;eng;15;279;3;1
Nagaland;10;eng;13;312;2.6;2
Odisha;10;eng;21;273;0.4;0
Puducherry;10;eng;34;325;2.3;2
Punjab;10;eng;3;330;0.5;2
Rajasthan;10;eng;8;289;0.4;2
Sikkim;10;eng;11;303;3.5;2
Tamil Nadu;10;eng;33;275;0.4;0
Telangana;10;eng;36;291;0.5;2
Tripura;10;eng;16;273;1.5;0
Uttar Pradesh;10;eng;9;253;0.2;0
Uttarakhand;10;eng;5;280;0.8;2
West Bengal;10;eng;19;279;0.4;2
National Average;10;eng;0;277;0.1;3
Andaman & Nicobar Islands;10;math;35;224;3.8;1
Andhra Pradesh;10;math;28;217;0.5;0
Arunachal Pradesh;10;math;12;203;1.9;0
Assam;10;math;18;221;0.5;1
Bihar;10;math;10;229;0.3;2
Chandigarh;10;math;4;261;2.6;2
Chhattisgarh;10;math;22;202;0.4;0
Dadra & Nagar Haveli;10;math;26;201;2.4;0
Daman & Diu;10;math;25;208;5.2;1
Delhi;10;math;7;230;0.5;2
Goa;10;math;30;213;2.1;0
Gujarat;10;math;24;211;0.3;0
Haryana;10;math;6;242;0.5;2
Himachal Pradesh;10;math;2;209;0.9;0
Jammu & Kashmir;10;math;1;216;0.9;0
Jharkhand;10;math;20;218;0.4;0
Karnataka;10;math;29;219;0.4;0
Kerala;10;math;32;210;0.3;0
Ladakh;10;math;37;208;4.4;1
Lakshadweep;10;math;31;201;6.8;1
Madhya Pradesh;10;math;23;226;0.3;2
Maharashtra;10;math;27;211;0.3;0
Manipur;10;math;14;217;1.3;1
Meghalaya;10;math;17;198;1.4;0
Mizoram;10;math;15;200;1.8;0
Nagaland;10;math;13;200;1.8;0
Odisha;10;math;21;224;0.4;2
Puducherry;10;math;34;226;2;2
Punjab;10;math;3;273;0.7;2
Rajasthan;10;math;8;256;0.5;2
Sikkim;10;math;11;195;2.2;0
Tamil Nadu;10;math;33;200;0.3;0
Telangana;10;math;36;210;0.4;0
Tripura;10;math;16;214;1.5;0
Uttar Pradesh;10;math;9;211;0.2;0
Uttarakhand;10;math;5;218;0.7;0
West Bengal;10;math;19;214;0.4;0
National Average;10;math;0;220;0.1;3
Andaman & Nicobar Islands;10;mil;35;255;4.2;1
Andhra Pradesh;10;mil;28;252;0.3;0
Arunachal Pradesh;10;mil;12;240;2.2;0
Assam;10;mil;18;250;0.4;0
Bihar;10;mil;10;250;0.2;0
Chandigarh;10;mil;4;290;1.9;2
Chhattisgarh;10;mil;22;258;0.4;0
Dadra & Nagar Haveli;10;mil;26;244;2.7;0
Daman & Diu;10;mil;25;262;5.6;1
Delhi;10;mil;7;283;0.5;2
Goa;10;mil;30;229;1.8;0
Gujarat;10;mil;24;263;0.3;2
Haryana;10;mil;6;284;0.4;2
Himachal Pradesh;10;mil;2;267;1;2
Jammu & Kashmir;10;mil;1;243;0.9;0
Jharkhand;10;mil;20;255;0.4;0
Karnataka;10;mil;29;242;0.2;0
Kerala;10;mil;32;278;0.4;2
Ladakh;10;mil;37;235;5.1;0
Lakshadweep;10;mil;31;233;9.8;0
Madhya Pradesh;10;mil;23;268;0.3;2
Maharashtra;10;mil;27;267;0.3;2
Manipur;10;mil;14;218;1.3;0
Meghalaya;10;mil;17;212;2;0
Mizoram;10;mil;15;204;2.7;0
Nagaland;10;mil;13;212;1.9;0
Odisha;10;mil;21;252;0.3;0
Puducherry;10;mil;34;216;3;0
Punjab;10;mil;3;288;0.4;2
Rajasthan;10;mil;8;280;0.3;2
Sikkim;10;mil;11;233;2.8;0
Tamil Nadu;10;mil;33;254;0.3;0
Telangana;10;mil;36;242;0.3;0
Tripura;10;mil;16;250;1.2;0
Uttar Pradesh;10;mil;9;252;0.2;0
Uttarakhand;10;mil;5;263;0.7;2
West Bengal;10;mil;19;265;0.3;2
National Average;10;mil;0;260;0.1;3
Andaman & Nicobar Islands;10;sci;35;229;4.8;2
Andhra Pradesh;10;sci;28;205;0.4;0
Arunachal Pradesh;10;sci;12;209;2.5;1
Assam;10;sci;18;202;0.5;0
Bihar;10;sci;10;202;0.3;0
Chandigarh;10;sci;4;260;2.4;2
Chhattisgarh;10;sci;22;189;0.4;0
Dadra & Nagar Haveli;10;sci;26;190;2.9;0
Daman & Diu;10;sci;25;204;6.3;1
Delhi;10;sci;7;233;0.6;2
Goa;10;sci;30;230;2.5;2
Gujarat;10;sci;24;201;0.3;0
Haryana;10;sci;6;230;0.5;2
Himachal Pradesh;10;sci;2;205;1;1
Jammu & Kashmir;10;sci;1;218;1.1;2
Jharkhand;10;sci;20;204;0.4;0
Karnataka;10;sci;29;206;0.4;1
Kerala;10;sci;32;208;0.4;2
Ladakh;10;sci;37;218;6.3;1
Lakshadweep;10;sci;31;212;12.7;1
Madhya Pradesh;10;sci;23;206;0.3;1
Maharashtra;10;sci;27;202;0.3;0
Manipur;10;sci;14;219;1.5;2
Meghalaya;10;sci;17;192;1.7;0
Mizoram;10;sci;15;189;2.2;0
