district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;boys;boys_basic_and_below_basic;boys_proficient_and_advance;girls;girls_basic_and_below_basic;girls_proficient_and_advance;trans_gender
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;eng;41.476562;37.155487;62.844513;45.310028;26.266104;73.733894;0
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;math;27.940575;87.04689;12.953112;26.588491;94.53314;5.46686;0
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;mil;27.300348;95.44951;4.5504923;24.67018;94.93135;5.068646;0
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;sci;32.809658;97.737946;2.2620578;30.908407;97.68639;2.3136032;0
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;sst;29.587605;98.06232;1.93768;33.723164;94.246376;5.7536206;0
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;evs;43.0508;83.10775;16.892252;40.451527;83.5248;16.475199;20
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;language;45.884243;84.291504;15.708494;44.416924;84.16002;15.839984;33.333332
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;math;36.76407;90.23474;9.765261;37.046894;90.098656;9.901345;11.764706
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;evs;32.88097;89.34711;10.652893;35.07021;89.5604;10.439599;44.4
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;language;36.504833;87.9358;12.064204;39.107437;83.76442;16.23558;20
