district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;general;general_basic_and_below_basic;general_proficient_and_advance;obc;obc_basic_and_below_basic;obc_proficient_and_advance;sc;sc_basic_and_below_basic;sc_proficient_and_advance;st;st_basic_and_below_basic;st_proficient_and_advance
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;sst;42.95017;71.93863;28.061373;42.59918;71.39667;28.603333;34.25397;4.944396;95.0556;35.880787;90.17343;9.826571
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;eng;63.115974;16.38353;83.61647;41.925297;51.816063;48.183937;62.96875;80.69236;19.307638;52.83531;19.328285;80.671715
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;math;32.457577;70.12866;29.87134;31.27128;83.22868;16.771313;23.33637;0;100;26.712816;93.34278;6.6572156
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;mil;36.62056;89.09182;10.908181;34.997166;95.018845;4.9811563;31.413284;0;100;24.295708;100;0
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;sci;41.236897;83.45503;16.544968;36.610077;79.983246;20.01675;36.6445;0;100;34.83362;95.80877;4.1912336
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;sst;45.399693;67.57287;32.42713;44.04885;60.76241;39.23759;34.767605;14.704658;85.29534;36.92005;88.15116;11.848842
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;evs;21.540213;100;0;40;100;0;38.104824;27.157234;72.842766;45.41576;74.43588;25.564114
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;language;46.980602;100;0;46.666668;100;0;40.575264;0;100;47.596214;79.325714;20.674286
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;math;29.640375;100;0;70.588234;100;0;34.711803;27.157234;72.842766;41.085735;81.074356;18.925644
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;evs;16.666666;100;0;27.777779;100;0;55.507156;47.16516;52.83484;37.86443;84.62095;15.379049
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;language;20;100;0;20;100;0;66.313835;78.816666;21.183334;45.102028;75.481926;24.518076
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;math;20;100;0;35;100;0;35.55462;0;100;33.504635;88.2735;11.7265005
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;language;47.5;75;25;82.48371;0;100;37.535267;11.595842;88.40416;45.51425;79.880775;20.119225
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;math;23.209034;100;0;36.666668;0;100;37.074226;16.116293;83.883705;28.518778;92.50239;7.497612
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;sci;51.854286;26.947685;73.052315;54.75109;37.164486;62.835514;29.636774;10.1888275;89.81117;33.47786;89.23955;10.760454
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;sst;49.590714;64.26944;35.73056;13.333333;100;0;35.26309;13.730645;86.269356;33.84221;93.86487;6.1351285
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;eng;28.571428;100;0;49.489338;18.670876;81.329124;46.79962;64.287636;35.712368;43.602646;31.423777;68.576225
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;math;19.170778;100;0;14.285714;100;0;17.142857;0;100;27.242464;91.26206;8.737939
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;mil;38.309334;100;0;22.353945;100;0;28.571428;0;100;25.633354;94.724106;5.2758927
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;sci;37.52315;62.884712;37.115288;30.78446;100;0;30.328398;0;100;31.584652;97.82627;2.173732
West Jaintia Hills;Meghalaya;1707;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1707;17;sst;32.538204;100;0;39.996613;100;0;42.892635;0;100;31.805109;95.64517;4.3548274
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;evs;38.35932;88.458534;11.541468;55.555557;33.333332;66.666664;64.280785;85.684715;14.315287;41.1285;84.01998;15.980021
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;language;50.434086;83.54111;16.45889;57.77778;100;0;39.045647;0;100;44.32619;84.63431;15.365696
North Garo Hills;Meghalaya;1708;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1708;17;math;38.70977;95.08258;4.917423;67.64706;50;50;48.730797;0;100;35.94038;90.37606;9.623938
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;evs;30.00963;89.53392;10.466077;49.01096;41.780273;58.219727;42.58264;0;100;35.246296;87.883675;12.116329
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;language;34.834087;87.79857;12.201434;49.361134;100;0;39.802902;0;100;38.57797;84.490524;15.509477
North Garo Hills;Meghalaya;1708;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;math;28.538406;100;0;30;100;0;37.184715;0;100;28.633423;97.2651;2.7349007
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;language;70.28423;23.28935;76.71065;34.15242;100;0;33.437218;0;100;32.022083;94.795204;5.2047977
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;math;22.219273;100;0;26.2733;100;0;29.477417;0;100;25.539656;97.420944;2.5790577
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;sci;52.944103;37.16809;62.83191;27.968489;100;0;26.51332;0;100;28.156033;97.53312;2.4668815
North Garo Hills;Meghalaya;1708;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1708;17;sst;35.178516;100;0;30.458363;100;0;40.740387;21.760782;78.23922;27.973516;98.12366;1.8763463
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;eng;27.327585;80.640686;19.359312;24.357;100;0;31.12606;34.801598;65.1984;30.502794;67.54092;32.459084
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;math;22.594738;100;0;20.838488;100;0;23.786186;0;100;24.117039;97.14192;2.8580747
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;mil;24.029448;100;0;25.71323;100;0;21.8606;0;100;24.069565;100;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;sci;24.808098;100;0;25.714285;100;0;22.693676;0;100;26.081509;100;0
North Garo Hills;Meghalaya;1708;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1708;17;sst;33.324806;91.53131;8.468688;31.220963;100;0;21.612516;0;100;27.680635;99.740326;0.2596767
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;evs;40.483368;81.54973;18.45027;45.615665;79.50262;20.497385;35.47518;13.829638;86.170364;51.528053;64.42358;35.576424
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;language;46.71382;81.54973;18.45027;36.666668;88.71806;11.281939;34.85992;8.523176;91.47682;56.75474;61.571705;38.428295
East Jaintia Hills;Meghalaya;1709;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1709;17;math;32.682564;87.69982;12.3001795;27.330397;100;0;33.830284;17.046352;82.95365;49.12969;68.63884;31.361156
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;evs;45.18441;73.6832;26.316801;39.768032;79.848595;20.151407;46.768215;19.2129;80.7871;37.773277;83.60305;16.396948
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;language;51.524033;65.268875;34.73113;43.362812;69.296;30.704006;52.89535;34.45428;65.545715;44.38073;78.447395;21.552607
East Jaintia Hills;Meghalaya;1709;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;math;35.991016;87.59351;12.406489;34.57218;92.236755;7.763247;38.4205;19.2129;80.7871;35.297287;86.98262;13.017384
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;language;55.576572;79.63228;20.367718;46.490154;62.655586;37.344414;42.625156;22.166662;77.833336;39.589455;87.545456;12.454543
East Jaintia Hills;Meghalaya;1709;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1709;17;math;44.73195;51.292805;48.707195;34.138474;83.84983;16.15017;28.854158;0;100;29.494652;87.742035;12.257968
