district_name;state_name;udise_district_code;grade;updated_at;created_at;district_id;state_id;subject;central_govt;central_govt_basic_and_below_basic;central_govt_proficient_and_advance;govt;govt_aided;govt_aided_basic_and_below_basic;govt_aided_proficient_and_advance;govt_basic_and_below_basic;govt_proficient_and_advance;private;private_basic_and_below_basic;private_proficient_and_advance
West Khasi Hills;Meghalaya;1704;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1704;17;sst;0;0;0;0;0;0;0;0;0;40.276577;70.833336;29.166666
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;evs;44.988953;83.69468;16.305325;56.33011;46.12846;77.17532;22.824675;58.51524;41.48476;50.683773;65.244675;34.75533
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;language;44.514576;85.95681;14.04319;61.984226;47.926422;79.66474;20.335255;59.3513;40.6487;55.401485;67.57735;32.422653
Ri Bhoi;Meghalaya;1705;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1705;17;math;46.19623;81.08995;18.910046;51.18286;42.209087;82.843765;17.156235;69.106316;30.893688;47.62031;71.139084;28.860918
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;evs;39.098362;90;10;34.733635;32.3154;97.609344;2.390659;96.63706;3.3629386;44.636765;74.96512;25.034878
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;language;44.1206;76.21441;23.785595;42.876736;37.37361;90.79971;9.200285;81.92529;18.074707;55.190983;61.45604;38.54396
Ri Bhoi;Meghalaya;1705;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;math;32.811474;94.2623;5.7377048;28.327272;25.65526;98.86628;1.1337171;98.35529;1.6447052;35.3136;86.568985;13.431018
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;language;59.203705;58.9899;41.0101;41.709682;40.752213;88.98031;11.019693;82.09001;17.909986;50.63537;75.42186;24.578138
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;math;31.47547;90.39502;9.604979;27.481827;26.744164;97.03388;2.9661193;94.01823;5.9817753;27.749672;93.140175;6.8598247
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;sci;44.692234;69.744316;30.255682;31.09114;30.52417;95.737434;4.262566;94.127464;5.872532;34.955975;85.798454;14.201547
Ri Bhoi;Meghalaya;1705;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1705;17;sst;39.484848;85.252525;14.747475;32.635006;31.661562;96.250305;3.749694;95.591156;4.408844;35.56934;89.44509;10.554906
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;eng;64.622284;4.563107;95.43689;40.60049;44.47631087;35.63158795;64.36841205;42.37582;57.62418;40.72101;38.10829;61.89171
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;math;31.736015;76.375404;23.624596;23.927248;24.20394178;97.46272489;2.537275111;97.94974;2.0502646;24.817669;95.17518;4.824825
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;mil;32.43643;97.16828;2.831715;21.912092;26.88033789;97.67210734;2.327892665;100;0;31.615713;97.413246;2.5867517
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;sci;41.758923;85.06914;14.930862;29.652134;30.92585973;99.60750767;0.392492326;100;0;31.264244;97.15695;2.843045
Ri Bhoi;Meghalaya;1705;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1705;17;sst;46.272015;73.080315;26.919682;30.273655;31.68165128;98.14594743;1.854052574;98.941795;1.0582011;32.780804;96.38514;3.6148603
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;evs;52.10658;64.79163;35.20837;50.312977;59.826447;49.7146;50.2854;74.19279;25.807217;61.499954;51.770836;48.229164
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;language;61.515106;65.01636;34.983646;55.618877;58.943306;62.210728;37.789272;72.83239;27.167606;71.35897;44.503292;55.496708
East Khasi Hills;Meghalaya;1706;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1706;17;math;51.295086;67.48457;32.515427;46.063763;53.728115;59.97962;40.02038;78.79069;21.20931;53.390713;69.51451;30.485493
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;evs;53.31489;57.010567;42.989433;41.363197;44.472828;75.911804;24.088196;82.021614;17.978388;54.511208;54.64699;45.35301
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;language;69.370964;32.6272;67.372795;48.547134;54.98018;61.875114;38.124886;72.29528;27.704723;70.83838;30.017778;69.98222
East Khasi Hills;Meghalaya;1706;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;math;47.97003;69.34874;30.651257;35.539658;38.242878;82.71564;17.28436;89.87983;10.120171;39.643093;86.17227;13.827724
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;language;68.79255;37.43973;62.56027;41.337444;52.871376;66.86725;33.13275;84.13531;15.86469;63.183483;46.467167;53.532833
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;math;35.319405;76.42857;23.571428;27.144554;28.25582;95.12289;4.8771167;96.3429;3.657098;31.624584;85.50337;14.496629
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;sci;49.336708;48.281746;51.718254;33.10952;37.32445;81.24433;18.755667;91.44143;8.558575;43.86493;63.663273;36.336727
East Khasi Hills;Meghalaya;1706;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1706;17;sst;43.429943;72.59259;27.407408;33.41082;35.523983;91.34483;8.655163;93.56587;6.43413;40.256966;80.12805;19.871944
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;eng;59.51617;17.466461;82.53354;50.712475;52.56238898;19.3798202;80.6201798;20.92537;79.07463;56.320965;21.171688;78.828316
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;math;32.38095;76.75439;23.245613;25.361336;25.48651447;95.31959607;4.680403929;92.43787;7.5621367;30.285175;82.942635;17.057364
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;mil;38.434322;93.26625;6.733746;24.752428;23.61700546;100;0;96.46812;3.5318851;29.787832;95.42332;4.576681
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;sci;39.83046;81.88854;18.111456;33.160023;34.46202808;98.43550286;1.564497137;96.62115;3.3788517;37.538807;87.07287;12.92713
East Khasi Hills;Meghalaya;1706;10;2022-04-21T01:33:53;2022-04-21T01:33:53;1706;17;sst;47.411644;65.67924;34.320763;36.77546;35.4078778;93.05040719;6.949592809;89.17535;10.824651;41.09222;73.16119;26.838812
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;evs;0;0;0;49.422295;43.105804;78.39907;21.600925;68.61912;31.380878;51.128918;66.18457;33.815426
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;language;0;0;0;49.90279;45.78108;79.048775;20.951227;78.316284;21.683714;56.080177;74.18806;25.811943
West Jaintia Hills;Meghalaya;1707;3;2022-04-21T01:33:51;2022-04-21T01:33:51;1707;17;math;0;0;0;46.19684;38.086006;85.63576;14.364244;73.60755;26.39245;44.12584;80.697334;19.302664
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;evs;0;0;0;40.714466;37.571243;83.75184;16.24816;79.4099;20.590105;34.585484;93.63574;6.36426
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;language;0;0;0;46.272232;44.31405;77.358574;22.641424;71.49646;28.503536;45.866108;73.59627;26.403734
West Jaintia Hills;Meghalaya;1707;5;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;math;0;0;0;36.779213;32.584625;88.32112;11.678877;85.36017;14.639831;30.645395;95.15271;4.847288
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;language;59.77778;60;40;39.774067;48.437042;74.307884;25.69212;90.15601;9.843985;41.98672;83.26808;16.731915
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;math;30.952381;78.57143;21.428572;27.427504;29.391253;92.270645;7.729355;94.80664;5.1933594;26.645144;96.27729;3.7227085
West Jaintia Hills;Meghalaya;1707;8;2022-04-21T01:33:52;2022-04-21T01:33:52;1707;17;sci;40.833332;68.75;31.25;31.586737;34.488583;87.27576;12.724245;93.33806;6.661943;32.82923;88.06758;11.932415
