"udise_state_code","urban_population","rural_population","total_population","total_district_area","year_id","is_active","lgd_state_id","lgd_district_id","inityear","density_of_population","udise_district_code","description","district_name","state_name","state_id","updated_at","child_sex_ratio","no_of_schools","state_govt_schools","govt_aided_schools","central_govt_schools","private_unaided_reco_schools","teacher_state_govt_schools","teacher_govt_aided_schools","teacher_central_govt_schools","teacher_private_unaided_reco_schools","created_at","district_id","id","literacy_rate"
8,"89025","580894","669919","38401",6,1,0,0,"1996-97","17",816,"","Jaisalmer","Rajasthan",108,"2022-05-05T03:56:00","874","1626","1302","0","5","319","5392","0","122","2352","2021-12-16T18:30:00",1716,"17","57.22"
8,"181837","2421914","2603751","28387",6,1,0,0,"1996-97","92",817,"","Barmer","Rajasthan",108,"2022-05-05T03:56:00","904","5532","4822","0","4","706","21075","0","110","6287","2021-12-16T18:30:00",1717,"18","56.53"
8,"151755","1676975","1828730","10640",6,1,0,0,"1996-97","172",818,"","Jalor","Rajasthan",108,"2022-05-05T03:56:00","895","2720","1881","0","2","837","10839","0","45","5814","2021-12-16T18:30:00",1718,"19","54.86"
8,"208654","827692","1036346","5136",6,1,0,0,"1996-97","202",819,"","Sirohi","Rajasthan",108,"2022-05-05T03:56:00","897","1394","999","0","3","392","6000","0","66","3287","2021-12-16T18:30:00",1719,"20","55.25"
8,"460006","1577567","2037573","12387",6,1,0,0,"1996-97","164",820,"","Pali","Rajasthan",108,"2022-05-05T03:56:00","899","2898","1848","0","2","1048","12952","0","32","8485","2021-12-16T18:30:00",1720,"21","62.39"
8,"1035410","1547642","2583052","8481",6,1,0,0,"1996-97","305",821,"","Ajmer","Rajasthan",108,"2022-05-05T03:56:00","901","3291","1863","0","9","1419","13582","0","246","14281","2021-12-16T18:30:00",1721,"22","69.33"
8,"317723","1103603","1421326","7194",6,1,0,0,"1996-97","198",822,"","Tonk","Rajasthan",108,"2022-05-05T03:56:00","892","2276","1509","0","4","763","9018","0","87","6949","2021-12-16T18:30:00",1722,"23","61.58"
8,"222701","888205","1110906","5776",6,1,0,0,"1996-97","192",823,"","Bundi","Rajasthan",108,"2022-05-05T03:56:00","894","1822","1254","0","2","566","7260","0","34","4818","2021-12-16T18:30:00",1723,"24","61.52"
8,"512654","1895869","2408523","10455",6,1,0,0,"1996-97","230",824,"","Bhilwara","Rajasthan",108,"2022-05-05T03:56:00","928","4006","2893","0","2","1111","16121","0","50","9031","2021-12-16T18:30:00",1724,"25","61.37"
8,"183820","972777","1156597","4655",6,1,0,0,"1996-97","248",825,"","Rajsamand","Rajasthan",108,"2022-05-05T03:56:00","903","2251","1730","0","2","519","9089","0","45","4028","2021-12-16T18:30:00",1725,"26","63.14"
8,"608426","2459994","3068420","11724",6,1,0,0,"1996-97","262",826,"","Udaipur","Rajasthan",108,"2022-05-05T03:56:00","924","5425","4441","0","3","981","19910","0","104","10413","2021-12-16T18:30:00",1726,"27","61.82"
8,"88743","1299809","1388552","3770",6,1,0,0,"1996-97","368",827,"","Dungarpur","Rajasthan",108,"2022-05-05T03:56:00","922","3112","2675","0","2","435","11835","0","45","3955","2021-12-16T18:30:00",1727,"28","59.46"
8,"127621","1669864","1797485","4522",6,1,0,0,"1996-97","397",828,"","Banswara","Rajasthan",108,"2022-05-05T03:56:00","934","3803","3206","0","3","594","14655","0","57","5107","2021-12-16T18:30:00",1728,"29","56.33"
8,"285264","1259074","1544338","7822",6,1,0,0,"1996-97","197",829,"","Chittaurgarh","Rajasthan",108,"2022-05-05T03:56:00","912","2550","1819","0","3","728","10487","0","70","6120","2021-12-16T18:30:00",1729,"30","61.71"
8,"1176604","774410","1951014","5217",6,1,0,0,"1996-97","374",830,"","Kota","Rajasthan",108,"2022-05-05T03:56:00","899","2200","1097","0","4","1099","7798","0","121","13715","2021-12-16T18:30:00",1730,"31","76.56"
8,"254214","968541","1222755","6992",6,1,0,0,"1996-97","175",831,"","Baran","Rajasthan",108,"2022-05-05T03:56:00","912","2123","1594","0","4","525","8065","0","79","5109","2021-12-16T18:30:00",1731,"32","66.66"
8,"229291","1181838","1411129","6219",6,1,0,0,"1996-97","227",832,"","Jhalawar","Rajasthan",108,"2022-05-05T03:56:00","912","2199","1697","0","2","500","9748","0","57","4947","2021-12-16T18:30:00",1732,"33","61.5"
8,"71807","796041","867848","4449",6,1,0,0,"1996-97","195",833,"","Pratapgarh (Raj.)","Rajasthan",108,"2022-05-05T03:56:00","933","1989","1724","0","2","263","6543","0","6","2136","2021-12-16T18:30:00",1733,"34","55.97"
5,"24305","305781","330086","8016",6,1,0,0,"1996-97","41",501,"","Uttarkashi","Uttarakhand",105,"2022-05-05T03:56:00","916","1385","1174","3","3","205","3482","25","72","1575","2021-12-16T18:30:00",1401,"35","75.81"
5,"59396","332209","391605","8030",6,1,0,0,"1996-97","49",502,"","Chamoli","Uttarakhand",105,"2022-05-05T03:56:00","889","1560","1327","32","5","196","4335","207","79","1364","2021-12-16T18:30:00",1402,"36","82.65"
5,"9925","232360","242285","1984",6,1,0,0,"1996-97","122",503,"","Rudraprayag","Uttarakhand",105,"2022-05-05T03:56:00","905","965","765","47","2","151","2468","269","42","884","2021-12-16T18:30:00",1403,"37","81.3"
5,"70139","548792","618931","3642",6,1,0,0,"2000-01","170",504,"","Tehri Garhwal","Uttarakhand",105,"2022-05-05T03:56:00","897","2271","1901","36","3","331","6794","249","66","2361","2021-12-16T18:30:00",1404,"38","76.36"
5,"941941","754753","1696694","3088",6,1,0,0,"1996-97","549",505,"","Dehradun","Uttarakhand",105,"2022-05-05T03:56:00","889","2483","1319","110","21","1033","5202","931","743","15109","2021-12-16T18:30:00",1405,"39","84.25"
5,"69605","413834","483439","7090",6,1,0,0,"1996-97","68",507,"","Pithoragarh","Uttarakhand",105,"2022-05-05T03:56:00","816","1760","1496","12","4","248","4513","91","99","2342","2021-12-16T18:30:00",1407,"40","82.25"
5,"9079","250819","259898","2241",6,1,0,0,"1996-97","116",508,"","Bageshwar","Uttarakhand",105,"2022-05-05T03:56:00","904","909","770","19","3","117","2087","153","57","1113","2021-12-16T18:30:00",1408,"41","80.01"
5,"62314","560192","622506","3144",6,1,0,0,"1996-97","198",509,"","Almora","Uttarakhand",105,"2022-05-05T03:56:00","922","2032","1719","47","3","263","5450","463","83","2107","2021-12-16T18:30:00",1409,"42","80.47"
5,"38343","221305","259648","1766",6,1,0,0,"1996-97","147",510,"","Champawat","Uttarakhand",105,"2022-05-05T03:56:00","873","808","682","11","5","110","2397","74","91","1096","2021-12-16T18:30:00",1410,"43","79.83"
5,"371734","582871","954605","4251",6,1,0,0,"1996-97","225",511,"","Nainital","Uttarakhand",105,"2022-05-05T03:56:00","902","1916","1352","42","5","517","5039","479","113","6223","2021-12-16T18:30:00",1411,"44","83.88"
5,"586760","1062142","1648902","2542",6,1,0,0,"1996-97","649",512,"","Udham Singh Nagar","Uttarakhand",105,"2022-05-05T03:56:00","899","2129","1137","68","3","921","4508","605","70","10850","2021-12-16T18:30:00",1412,"45","73.1"
5,"693094","1197328","1890422","2360",6,1,0,0,"1996-97","801",513,"","Haridwar","Uttarakhand",105,"2022-05-05T03:56:00","877","2047","946","92","4","1005","4045","911","145","9448","2021-12-16T18:30:00",1413,"46","73.43"
4,"1026459","28991","1055450","114",6,1,0,0,"1996-97","9258",401,"","Chandigarh","Chandigarh",104,"2022-05-05T03:56:00","880","203","114","7","7","75","4853","280","301","3952","2021-12-16T18:30:00",1301,"47","86.05"
5,"112703","574568","687271","5329",6,1,0,0,"1996-97","129",506,"","Pauri","Uttarakhand",105,"2022-05-05T03:56:00","904","2396","1998","95","4","299","6986","682","88","2704","2021-12-16T18:30:00",1406,"48","82.02"
11,"4644","39065","43709","4226",6,1,0,0,"1996-97","10",1101,"","North Sikkim","Sikkim",111,"2022-05-05T03:56:00","929","110","92","1","1","16","893","18","21","134","2021-12-16T18:30:00",2101,"49","78.01"
11,"5248","131187","136435","1166",6,1,0,0,"1996-97","117",1102,"","West Sikkim","Sikkim",111,"2022-05-05T03:56:00","964","348","242","3","1","102","2709","21","16","917","2021-12-16T18:30:00",2102,"50","77.39"
11,"21199","125651","146850","750",6,1,0,0,"1996-97","196",1103,"","South Sikkim","Sikkim",111,"2022-05-05T03:56:00","953","365","248","2","2","113","2542","8","28","959","2021-12-16T18:30:00",2103,"51","81.42"
11,"122487","161096","283583","954",6,1,0,0,"1996-97","297",1104,"","East Sikkim","Sikkim",111,"2022-05-05T03:56:00","960","440","261","13","4","162","4051","196","76","1743","2021-12-16T18:30:00",2104,"52","83.85"
12,"11202","38775","49977","2172",6,1,0,0,"1996-97","23",1201,"","Tawang","Arunachal Pradesh",112,"2022-05-05T03:56:00","986","132","106","11","2","13","593","102","34","142","2021-12-16T18:30:00",2201,"53","59"
12,"15932","68015","83947","7422",6,1,0,0,"1996-97","11",1202,"","West Kameng","Arunachal Pradesh",112,"2022-05-05T03:56:00","973","237","184","8","4","41","755","94","78","479","2021-12-16T18:30:00",2202,"54","67.07"
12,"18350","60340","78690","4134",6,1,0,0,"1996-97","19",1203,"","East Kameng","Arunachal Pradesh",112,"2022-05-05T03:56:00","1001","192","167","6","1","18","743","62","17","200","2021-12-16T18:30:00",2203,"55","60.02"
12,"96963","79610","176573","3462",6,1,0,0,"1996-97","51",1204,"","Papum Pare","Arunachal Pradesh",112,"2022-05-05T03:56:00","977","256","222","5","2","27","1052","84","40","324","2021-12-16T18:30:00",2204,"56","79.95"
12,"12806","70224","83030","3508",6,1,0,0,"1996-97","24",1205,"","Lower Subansiri","Arunachal Pradesh",112,"2022-05-05T03:56:00","966","150","109","3","2","36","862","52","35","410","2021-12-16T18:30:00",2205,"57","74.35"
12,"13405","70043","83448","7032",6,1,0,0,"1996-97","12",1206,"","Upper Subansiri","Arunachal Pradesh",112,"2022-05-05T03:56:00","970","251","224","1","1","25","802","15","4","289","2021-12-16T18:30:00",2206,"58","63.8"
12,"24968","87306","112274","8325",6,1,0,0,"1996-97","13",1207,"","West Siang","Arunachal Pradesh",112,"2022-05-05T03:56:00","941","146","120","3","2","21","781","88","47","254","2021-12-16T18:30:00",2207,"59","66.46"
12,"27635","71579","99214","3603",6,1,0,0,"1996-97","28",1208,"","East Siang","Arunachal Pradesh",112,"2022-05-05T03:56:00","988","162","129","1","3","29","1359","15","29","412","2021-12-16T18:30:00",2208,"60","72.54"
12,"6540","28780","35320","6590",6,1,0,0,"1996-97","5",1209,"","Upper Siang","Arunachal Pradesh",112,"2022-05-05T03:56:00","946","117","103","1","2","11","541","14","24","130","2021-12-16T18:30:00",2209,"61","59.99"
12,"2384","5620","8004","9129",6,1,0,0,"1996-97","1",1210,"","Dibang Valley","Arunachal Pradesh",112,"2022-05-05T03:56:00","889","25","23","0","1","1","143","0","10","6","2021-12-16T18:30:00",2210,"62","64.1"
12,"32430","113296","145726","5212",6,1,0,0,"1996-97","28",1211,"","Lohit","Arunachal Pradesh",112,"2022-05-05T03:56:00","966","100","83","3","2","12","434","43","34","143","2021-12-16T18:30:00",2211,"63","68.18"
12,"19228","128998","148226","4662",6,1,0,0,"1996-97","32",1212,"","Changlang","Arunachal Pradesh",112,"2022-05-05T03:56:00","979","321","286","3","2","30","1129","44","37","392","2021-12-16T18:30:00",2212,"64","59.8"
12,"20810","91165","111975","2362",6,1,0,0,"1996-97","47",1213,"","Tirap","Arunachal Pradesh",112,"2022-05-05T03:56:00","961","145","118","3","1","23","502","69","21","248","2021-12-16T18:30:00",2213,"65","52.19"
12,"2345","89731","92076","6040",6,1,0,0,"1996-97","15",1214,"","Kurung Kumey","Arunachal Pradesh",112,"2022-05-05T03:56:00","983","121","103","1","0","17","597","11","0","122","2021-12-16T18:30:00",2214,"66","48.75"
12,"11389","42691","54080","3900",6,1,0,0,"1996-97","14",1215,"","Lower Dibang Valley","Arunachal Pradesh",112,"2022-05-05T03:56:00","948","101","78","1","2","20","557","25","40","210","2021-12-16T18:30:00",2215,"67","69.13"
12,"982","20185","21167","6190",6,1,0,0,"1996-97","3",1216,"","Anjaw","Arunachal Pradesh",112,"2022-05-05T03:56:00","991","88","84","1","2","1","326","14","13","5","2021-12-16T18:30:00",2216,"68","56.46"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1217,"","Longding","Arunachal Pradesh",112,"2022-05-05T03:55:00","0","107","86","2","2","17","380","19","28","191","2021-12-16T18:30:00",2217,"69","0"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1218,"","Namsai","Arunachal Pradesh",112,"2022-05-05T03:55:00","0","222","188","2","2","30","819","15","19","364","2021-12-16T18:30:00",2218,"70","0"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1219,"","Kra Dadi","Arunachal Pradesh",112,"2022-05-05T03:56:00","0","134","122","1","1","10","628","7","11","104","2021-12-16T18:30:00",2219,"71","0"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1220,"","Siang","Arunachal Pradesh",112,"2022-05-05T03:56:00","0","107","93","1","0","13","549","15","0","120","2021-12-16T18:30:00",2220,"72","0"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1221,"","Lower Siang","Arunachal Pradesh",112,"2022-05-05T03:55:00","0","81","72","0","0","9","412","0","0","104","2021-12-16T18:30:00",2221,"73","0"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1222,"","Kamle","Arunachal Pradesh",112,"2022-05-05T03:55:00","0","126","116","2","1","7","404","21","17","31","2021-12-16T18:30:00",2222,"74","0"
12,"0","0","0","0",6,1,0,0,"1996-97","0",1223,"","Capital Complex Itanagar","Arunachal Pradesh",112,"2022-05-05T03:56:00","0","147","78","4","3","62","1109","134","111","1069","2021-12-16T18:30:00",2223,"75","0"
13,"34444","215816","250260","1786",6,1,0,0,"1996-97","140",1301,"","Mon","Nagaland",113,"2022-05-05T03:56:00","912","304","224","0","1","79","1587","0","24","1021","2021-12-16T18:30:00",2301,"76","56.99"
13,"36774","159822","196596","2536",6,1,0,0,"1996-97","78",1302,"","Tuensang","Nagaland",113,"2022-05-05T03:56:00","933","256","208","0","1","47","1845","0","6","721","2021-12-16T18:30:00",2302,"77","73.08"
13,"55725","138897","194622","1615",6,1,0,0,"1996-97","121",1303,"","Mokokchung","Nagaland",113,"2022-05-05T03:56:00","949","259","198","0","2","59","2553","0","30","944","2021-12-16T18:30:00",2303,"78","91.62"
13,"27597","113160","140757","1255",6,1,0,0,"1996-97","112",1304,"","Zunheboto","Nagaland",113,"2022-05-05T03:56:00","948","273","224","0","2","47","1864","0","17","581","2021-12-16T18:30:00",2304,"79","85.26"
13,"35004","131339","166343","1628",6,1,0,0,"1996-97","102",1305,"","Wokha","Nagaland",113,"2022-05-05T03:56:00","956","183","141","0","2","40","1221","0","24","549","2021-12-16T18:30:00",2305,"80","87.69"
13,"197869","180942","378811","927",6,1,0,0,"1996-97","409",1306,"","Dimapur","Nagaland",113,"2022-05-05T03:56:00","966","518","290","0","3","225","3897","0","56","4423","2021-12-16T18:30:00",2306,"81","84.79"
13,"121088","146900","267988","1463",6,1,0,0,"1996-97","183",1307,"","Kohima","Nagaland",113,"2022-05-05T03:56:00","985","278","170","0","3","105","2016","0","47","2312","2021-12-16T18:30:00",2307,"82","85.23"
13,"24575","138843","163418","2026",6,1,0,0,"1996-97","81",1308,"","Phek","Nagaland",113,"2022-05-05T03:56:00","913","232","173","0","1","58","1598","0","10","787","2021-12-16T18:30:00",2308,"83","78.05"
13,"7613","42871","50484","562",6,1,0,0,"1996-97","90",1309,"","Longleng","Nagaland",113,"2022-05-05T03:56:00","885","111","88","0","1","22","786","0","5","261","2021-12-16T18:30:00",2309,"84","72.17"
13,"16487","57517","74004","1130",6,1,0,0,"1996-97","65",1310,"","Kiphire","Nagaland",113,"2022-05-05T03:56:00","948","135","108","0","1","26","870","0","6","340","2021-12-16T18:30:00",2310,"85","69.54"
13,"13790","81429","95219","1651",6,1,0,0,"1996-97","58",1311,"","Peren","Nagaland",113,"2022-05-05T03:56:00","935","169","132","0","2","35","879","0","43","476","2021-12-16T18:30:00",2311,"86","77.95"
14,"7476","471672","479148","3271",6,1,0,0,"1996-97","146",1401,"","Senapati","Manipur",114,"2022-05-05T03:56:00","893","347","274","16","1","56","1398","53","27","1192","2021-12-16T18:30:00",2401,"87","63.6"
14,"19363","121288","140651","4391",6,1,0,0,"1996-97","32",1402,"","Tamenglong","Manipur",114,"2022-05-05T03:56:00","917","272","231","17","2","22","1159","42","35","432","2021-12-16T18:30:00",2402,"88","70.05"
14,"18357","255786","274143","4570",6,1,0,0,"1996-97","60",1403,"","Churachandpur","Manipur",114,"2022-05-05T03:56:00","948","441","301","49","3","88","1742","221","74","2029","2021-12-16T18:30:00",2403,"89","82.78"
14,"87505","149894","237399","496",6,1,0,0,"1996-97","479",1404,"","Bishnupur","Manipur",114,"2022-05-05T03:56:00","933","301","149","59","1","92","991","352","26","1869","2021-12-16T18:30:00",2404,"90","75.85"
14,"151333","270835","422168","514",6,1,0,0,"1996-97","821",1405,"","Thoubal","Manipur",114,"2022-05-05T03:56:00","935","336","158","60","0","118","1411","310","0","2702","2021-12-16T18:30:00",2405,"91","74.47"
14,"322879","195113","517992","519",6,1,0,0,"1996-97","998",1406,"","Imphal West","Manipur",114,"2022-05-05T03:56:00","949","524","244","80","3","197","2685","474","118","4708","2021-12-16T18:30:00",2406,"92","86.08"
14,"183207","272906","456113","709",6,1,0,0,"1996-97","643",1407,"","Imphal East","Manipur",114,"2022-05-05T03:56:00","943","502","255","92","3","152","2055","516","60","3653","2021-12-16T18:30:00",2407,"93","81.95"
14,"27187","156811","183998","4544",6,1,0,0,"1996-97","40",1408,"","Ukhrul","Manipur",114,"2022-05-05T03:56:00","923","228","156","13","3","56","1091","28","64","951","2021-12-16T18:30:00",2408,"94","81.35"
14,"16847","127335","144182","3313",6,1,0,0,"1996-97","44",1409,"","Chandel","Manipur",114,"2022-05-05T03:56:00","921","223","173","23","2","25","870","58","36","503","2021-12-16T18:30:00",2409,"95","71.11"
14,"0","0","0","0",6,1,0,0,"1996-97","0",1411,"","Tengnoupal","Manipur",114,"2022-05-05T03:56:00","0","148","98","22","0","28","551","53","0","470","2021-12-16T18:30:00",2411,"96","0"
14,"0","0","0","0",6,1,0,0,"1996-97","0",1412,"","Pherzawl","Manipur",114,"2022-05-05T03:56:00","0","117","86","19","0","12","422","51","0","143","2021-12-16T18:30:00",2412,"97","0"
14,"0","0","0","0",6,1,0,0,"1996-97","0",1413,"","Jiribam","Manipur",114,"2022-05-05T03:56:00","0","101","70","14","0","17","322","41","0","269","2021-12-16T18:30:00",2413,"98","0"
14,"0","0","0","0",6,1,0,0,"1996-97","0",1414,"","Kakching","Manipur",114,"2022-05-05T03:56:00","0","162","85","26","1","50","578","173","24","1093","2021-12-16T18:30:00",2414,"99","0"
14,"0","0","0","0",6,1,0,0,"1996-97","0",1416,"","Noney","Manipur",114,"2022-05-05T03:56:00","0","138","114","10","0","14","665","23","0","251","2021-12-16T18:30:00",2416,"100","0"
15,"14899","71465","86364","3025",6,1,0,0,"1996-97","29",1501,"","Mamit","Mizoram",115,"2022-05-05T03:56:00","979","372","278","18","1","75","1147","120","6","443","2021-12-16T18:30:00",2501,"101","84.93"
15,"46878","37077","83955","1382",6,1,0,0,"1996-97","61",1502,"","Kolasib","Mizoram",115,"2022-05-05T03:56:00","980","279","186","17","1","75","914","158","17","518","2021-12-16T18:30:00",2502,"102","93.5"
15,"314754","85555","400309","3576",6,1,0,0,"1996-97","112",1503,"","Aizawl","Mizoram",115,"2022-05-05T03:56:00","979","828","455","62","3","308","3028","591","60","2853","2021-12-16T18:30:00",2503,"103","97.89"
15,"48529","77216","125745","3185",6,1,0,0,"1996-97","39",1504,"","Champhai","Mizoram",115,"2022-05-05T03:56:00","971","256","159","23","1","73","812","141","12","578","2021-12-16T18:30:00",2504,"104","95.91"
15,"32019","32918","64937","1421",6,1,0,0,"1996-97","46",1505,"","Serchhip","Mizoram",115,"2022-05-05T03:56:00","949","233","141","25","2","65","709","183","23","497","2021-12-16T18:30:00",2505,"105","97.91"
15,"68752","92676","161428","4536",6,1,0,0,"1996-97","36",1506,"","Lunglei","Mizoram",115,"2022-05-05T03:56:00","963","579","388","37","2","152","1728","279","24","932","2021-12-16T18:30:00",2506,"106","88.86"
15,"20830","97064","117894","2557",6,1,0,0,"1996-97","46",1507,"","Lawngtlai","Mizoram",115,"2022-05-05T03:56:00","967","564","413","5","1","145","2100","32","15","919","2021-12-16T18:30:00",2507,"107","65.88"
15,"25110","31464","56574","1399",6,1,0,0,"1996-97","40",1508,"","Saiha","Mizoram",115,"2022-05-05T03:56:00","932","260","213","10","0","37","1330","65","0","314","2021-12-16T18:30:00",2508,"108","90.01"
16,"677638","1048101","1725739","2993",6,1,0,0,"1996-97","577",1601,"","West Tripura","Tripura",116,"2022-05-05T03:56:00","952","663","560","25","5","73","6088","653","140","1976","2021-12-16T18:30:00",2601,"109","88.69"
16,"123031","752970","876001","3057",6,1,0,0,"1996-97","287",1602,"","South Tripura","Tripura",116,"2022-05-05T03:56:00","951","663","631","2","2","28","3482","62","26","459","2021-12-16T18:30:00",2602,"110","84.66"
16,"40499","337731","378230","2400",6,1,0,0,"1996-97","158",1603,"","Dhalai","Tripura",116,"2022-05-05T03:56:00","968","869","818","1","2","48","3527","27","34","598","2021-12-16T18:30:00",2603,"111","85.72"
16,"120285","573662","693947","2036",6,1,0,0,"1996-97","341",1604,"","North Tripura","Tripura",116,"2022-05-05T03:56:00","969","499","445","2","2","50","2528","65","42","703","2021-12-16T18:30:00",2604,"112","87.5"
16,"0","0","0","0",6,1,0,0,"1996-97","0",1605,"","Sepahijala","Tripura",116,"2022-05-05T03:56:00","0","571","520","3","1","47","3633","85","9","782","2021-12-16T18:30:00",2605,"113","0"
16,"0","0","0","0",6,1,0,0,"1996-97","0",1606,"","Khowai","Tripura",116,"2022-05-05T03:56:00","0","495","456","4","2","33","3172","82","33","421","2021-12-16T18:30:00",2606,"114","0"
14,"0","0","0","0",6,1,0,0,"1996-97","0",1410,"","Kangpokpi","Manipur",114,"2022-05-05T03:56:00","0","510","353","64","2","91","1947","192","47","1546","2021-12-16T18:30:00",2410,"115","0"
16,"0","0","0","0",6,1,0,0,"1996-97","0",1607,"","Gomati","Tripura",116,"2022-05-05T03:56:00","0","583","528","1","1","53","3663","60","18","770","2021-12-16T18:30:00",2607,"116","0"
16,"0","0","0","0",6,1,0,0,"1996-97","0",1608,"","Unakoti","Tripura",116,"2022-05-05T03:56:00","0","325","290","5","2","28","1736","110","29","352","2021-12-16T18:30:00",2608,"117","0"
17,"74858","568433","643291","3677",6,1,0,0,"1996-97","175",1701,"","West Garo Hills","Meghalaya",117,"2022-05-05T03:56:00","976","2324","1365","524","1","434","3873","2817","19","2884","2021-12-16T18:30:00",2701,"118","67.58"
17,"44192","273725","317917","2603",6,1,0,0,"1996-97","122",1702,"","East Garo Hills","Meghalaya",117,"2022-05-05T03:56:00","980","719","520","126","1","72","1434","560","16","430","2021-12-16T18:30:00",2702,"119","73.95"
17,"13131","129203","142334","1887",6,1,0,0,"1996-97","75",1703,"","South Garo Hills","Meghalaya",117,"2022-05-05T03:56:00","974","1058","785","208","1","64","2111","829","15","326","2021-12-16T18:30:00",2703,"120","71.72"
17,"43105","340356","383461","5247",6,1,0,0,"1996-97","73",1704,"","West Khasi Hills","Meghalaya",117,"2022-05-05T03:56:00","967","1798","784","664","1","349","2276","1883","23","1155","2021-12-16T18:30:00",2704,"121","77.87"
17,"25253","233587","258840","2448",6,1,0,0,"1996-97","106",1705,"","Ri Bhoi","Meghalaya",117,"2022-05-05T03:56:00","953","1248","665","294","3","286","1996","1189","65","1545","2021-12-16T18:30:00",2705,"122","75.67"
17,"366481","459441","825922","2748",6,1,0,0,"1996-97","301",1706,"","East Khasi Hills","Meghalaya",117,"2022-05-05T03:56:00","964","2538","1035","1106","6","391","3647","5768","161","3213","2021-12-16T18:30:00",2706,"123","84.15"
