"thumbnail","no_of_students","updated_at","created_at","teacher_private_unaided_reco_schools","teacher_central_govt_schools","teacher_govt_aided_schools","teacher_state_govt_schools","private_unaided_reco_schools","central_govt_schools","govt_aided_schools","state_govt_schools","no_of_schools","child_sex_ratio","literacy_rate","density_of_population","urban_population","rural_population","total_population","total_district_area","rank","map_id","view_order","is_ut","status","is_active","lgd_state_id","udise_state_code","description","state_name","state_id","id"
"","38762","2022-05-23T07:19:33","2021-12-16T18:30:00","21937","511","2634","18461","1027","21","585","2857","4490","936","76.9","122","834154","2021640","2855794","22327",0,27,23,2,"A",1,0,14,"","Manipur",114,"22"
"","43327","2022-05-23T07:19:33","2021-12-16T18:30:00","12454","344","17798","23049","2179","17","4176","7778","14150","970","74.4","132","595450","2371439","2966889","22429",0,22,24,2,"A",1,0,17,"","Meghalaya",117,"23"
"","22120","2022-05-23T07:19:33","2021-12-16T18:30:00","7054","157","1569","11768","930","11","197","2233","3371","970","91.3","52","571771","525435","1097206","21081",0,25,25,2,"A",1,0,15,"","Mizoram",115,"24"
"","28995","2022-05-23T07:19:33","2021-12-16T18:30:00","12415","268","0","19116","743","19","0","1956","2718","943","79.6","119","570966","1407536","1978502","16579",0,3,26,2,"A",1,0,13,"","Nagaland",113,"25"
"","158611","2022-05-23T07:19:33","2021-12-16T18:30:00","79933","1440","32574","231833","6393","102","5844","50154","62493","941","72.9","269","7003656","34970562","41974218","155707",0,32,27,2,"A",1,0,21,"","Odisha",121,"26"
"","13098","2022-05-23T07:19:33","2021-12-16T18:30:00","7143","224","930","4491","286","8","33","414","741","967","85.8","2598","852753","395200","1247953","490",0,9,28,1,"A",1,0,34,"","Puducherry",134,"27"
"","117601","2022-05-23T07:19:33","2021-12-16T18:30:00","150873","3278","5232","119596","8893","158","455","19172","28678","846","75.8","550","10399146","17344192","27743338","50362",0,17,29,2,"A",1,0,3,"","Punjab",103,"28"
"","151423","2022-05-23T07:19:33","2021-12-16T18:30:00","350221","3490","0","394784","36023","127","0","68686","104836","888","66.1","201","17048085","51500352","68548437","342239",0,12,30,2,"A",1,0,8,"","Rajasthan",108,"29"
"","10634","2022-05-23T07:19:33","2021-12-16T18:30:00","3753","141","243","10195","393","8","19","843","1263","957","81.4","86","153578","456999","610577","7096",0,34,31,2,"A",1,0,11,"","Sikkim",111,"30"
"","126253","2022-05-23T07:19:33","2021-12-16T18:30:00","226977","1493","70260","204138","10882","48","7299","33898","52127","943","80.1","555","34917440","37229590","72147030","130060",0,15,32,2,"A",1,0,33,"","Tamil Nadu",133,"31"
"","145420","2022-05-23T07:19:33","2021-12-16T18:30:00","177712","1616","3599","136852","12023","163","700","29852","42738","932","66.5","312","13608665","21395009","35003674","112070",0,24,33,2,"A",1,0,36,"","Telangana",136,"32"
"","29765","2022-05-23T07:19:33","2021-12-16T18:30:00","6061","331","1144","27829","360","17","43","4248","4668","957","87.2","350","961453","2712464","3673917","10486",0,26,34,2,"A",1,0,16,"","Tripura",116,"33"
"","65870","2022-05-23T07:19:33","2021-12-16T18:30:00","57176","1748","5139","57306","5396","65","614","16586","22661","890","78.8","189","3049338","7036954","10086292","53483",0,35,36,2,"A",1,0,5,"","Uttarakhand",105,"34"
"1726795063172860.png","423069","2022-05-23T07:19:33","2021-12-16T18:30:00","705775","6906","82225","616288","96741","228","8125","136840","241934","902","67.7","828","44495063","155317278","199812341","240928",0,1,35,2,"2",2,0,9,null,"Uttar Pradesh",109,"35"
"","98694","2022-05-23T07:19:33","2021-12-16T18:30:00","91819","3057","1003","466747","10042","143","87","83236","93508","956","76.3","1029","29093002","62183113","91276115","88752",0,8,37,2,"A",1,0,19,"","West Bengal",119,"36"
"","4231","2022-05-23T07:19:33","2021-12-16T18:30:00","0","0","0","0","0","0","0","0","0","904","87.1","2169","182851","60396","243247","111",0,13,0,1,"A",1,25,25,"","Daman & Diu",125,"38"
