state_name;central_govt_school;central_govt_school_count;created_at;female_gender;female_gender_count;general_social_group;general_social_group_count;govt_aided_school;govt_aided_school_count;govt_school;govt_school_count;grade;id;male_gender;male_gender_count;obc_social_group;obc_social_group_count;private_school;private_school_count;rural_location;rural_location_count;sc_social_group;sc_social_group_count;st_social_group;st_social_group_count;state_id;total_school;total_student;total_teacher;trans_gender;trans_gender_count;updated_at;urban_location;urban_location_count
Jammu & Kashmir;6.948959688;0;;49.02953586;0;63.42266533;0;0.13816645;0;45.83062419;0;3;1;50.97046414;0;9.914936431;0;47.08224967;0;77.62516255;0;8.506356901;0;16.57367603;0;1;921;12304;2629;0;0;;22.37483745;0
Jammu & Kashmir;7.068725995;0;;49.07179791;0;65.36194511;0;0.130751001;0;43.39298848;0;5;38;50.91972535;0;8.740099466;0;49.40753453;0;75.66396993;0;8.436176091;0;15.91453306;0;1;943;12237;2586;0.008476731;0;;24.33603007;0
Jammu & Kashmir;4.549283909;0;;50.72486482;0;66.89580918;0;0.061269817;0;51.91085242;0;8;75;49.27513518;0;9.375517641;0;43.47859386;0;76.97786628;0;9.209872453;0;13.36756667;0;1;1434;25605;5605;0;0;;23.02213372;0
Jammu & Kashmir;4.1030045;0;;51.094574;0;73.316666;0;0.051502146;0;51.28755;0;10;112;48.905426;0;8.372696;0;44.55794;0;71.476395;0;8.335649;0;9.197;0;1;1119;29110;5440;0;0;;28.523605;0
Himachal Pradesh;11.16664287;0;;47.94206224;0;54.5143213;0;0;0;46.76567185;0;3;2;52.05793776;0;11.50373599;0;42.06768528;0;83.10723975;0;23.61457036;0;10.3362391;0;2;512;7003;1214;0;0;;16.89276025;0
Himachal Pradesh;11.27389424;0;;48.48527349;0;55.95015576;0;0;0;46.26761546;0;5;39;51.51472651;0;11.1682243;0;42.4584903;0;76.96386215;0;23.19314642;0;9.361370717;0;2;500;7167;1177;0;0;;23.03613785;0
Himachal Pradesh;8.749136144;0;;49.08009407;0;54.61968199;0;0;0;48.97028334;0;8;76;50.91990593;0;12.80618823;0;42.28058051;0;78.29993089;0;22.74745738;0;9.669101848;0;2;741;14233;2813;0;0;;21.70006911;0
Himachal Pradesh;7.586207;0;;48.71079;0;55.494507;0;0;0;46.535305;0;10;113;51.28921;0;12.770563;0;45.87849;0;77.83251;0;20.57942;0;10.822511;0;2;700;15170;3372;0;0;;22.167488;0
Punjab;9.429889118;0;;48.83937773;0;43.03072556;0;17.6184869;0;39.08841134;0;3;3;51.16062227;0;17.71326129;0;33.86321264;0;51.08429006;0;39.01698123;0;0.179273941;0;3;919;20382;1882;0;0;;48.91570994;0
Punjab;8.992061583;0;;49.0543337;0;41.9697191;0;18.00336781;0;39.57661775;0;5;40;50.9456663;0;17.92999367;0;33.42795285;0;51.46980996;0;39.80332019;0;0.277493793;0;3;912;20785;1967;0;0;;48.53019004;0
Punjab;6.931602825;0;;49.60064357;0;43.13123116;0;19.8529834;0;37.66151726;0;8;77;50.39935643;0;18.94273128;0;35.55389651;0;55.44707977;0;37.65360538;0;0.168096453;0;3;1409;34589;5374;0;0;;44.55292023;0
Punjab;5.8040247;0;;50.370724;0;42.24631;0;18.391354;0;39.451843;0;10;114;49.629276;0;19.506172;0;36.35278;0;57.586433;0;37.910267;0;0.28906956;0;3;1581;41844;7749;0;0;;42.413567;0
Chandigarh;18.14516129;0;;46.37096774;0;86.46153846;0;15.8266129;0;33.26612903;0;3;4;53.62903226;0;3.897435897;0;32.76209677;0;6.048387097;0;6.564102564;0;0.102564103;0;4;34;992;85;0;0;;93.9516129;0
Chandigarh;17.96407186;0;;53.39321357;0;81.15631692;0;16.16766467;0;32.93413174;0;5;41;46.60678643;0;4.389721627;0;32.93413174;0;14.97005988;0;8.244111349;0;0.96359743;0;4;34;1002;94;0;0;;85.02994012;0
Chandigarh;11.96283391;0;;48.66434379;0;83.31288344;0;11.61440186;0;38.32752613;0;8;78;51.33565621;0;4.785276074;0;38.0952381;0;7.200929152;0;8.711656442;0;0.122699387;0;4;58;1713;227;0;0;;92.79907085;0
Chandigarh;10.39604;0;;46.658417;0;78.10945;0;9.405941;0;40.09901;0;10;115;53.341583;0;7.21393;0;40.09901;0;7.4257426;0;13.557214;0;0.24875621;0;4;68;2019;326;0;0;;92.57426;0
Uttarakhand;11.31245417;0;;48.2462647;0;51.41863856;0;7.216926783;0;42.55787158;0;3;5;51.7537353;0;22.51878434;0;38.91274746;0;68.5450927;0;23.53930694;0;1.74946731;0;5;601;9547;1461;0;0;;31.4549073;0
Uttarakhand;11.32565141;0;;49.84846901;0;50.19959003;0;7.848022423;0;40.20554344;0;5;42;50.15153099;0;23.21717553;0;40.62078273;0;67.06114398;0;23.98316971;0;2.179307369;0;5;593;9633;1411;0;0;;32.93885602;0
Uttarakhand;6.429083095;0;;48.19969471;0;54.39846533;0;22.17944126;0;37.58954155;0;8;79;51.80030529;0;20.70887001;0;33.8019341;0;73.43302292;0;22.71855303;0;2.000548095;0;5;1054;22004;3888;0;0;;26.56697708;0
Uttarakhand;6.1197653;0;;46.294796;0;52.944798;0;23.002226;0;36.59721;0;10;116;53.684956;0;21.629387;0;34.2808;0;69.613594;0;22.511799;0;2.831931;0;5;959;24686;4587;0.020247014;0;;30.386406;0
Haryana;6.144865679;0;;48.15001576;0;44.20691475;0;1.663319106;0;47.38262616;0;3;6;51.84998424;0;31.23515439;0;44.80918905;0;63.36304293;0;24.25442069;0;0.270519926;0;6;670;15932;1567;0;0;;36.63695707;0
Haryana;5.891814607;0;;48.19054433;0;43.30576457;0;1.662099369;0;49.6068152;0;5;43;51.80945567;0;30.38368261;0;42.83927082;0;63.4218992;0;25.869038;0;0.34823705;0;6;677;16786;1655;0;0;;36.5781008;0
Haryana;5.052334944;0;;50.52780206;0;43.08223912;0;1.207729469;0;48.1078905;0;8;80;49.46547435;0;31.61022806;0;45.63204509;0;64.12372517;0;24.69246717;0;0.310988252;0;6;1145;29577;4416;0.006723593;0;;35.87627483;0
Haryana;4.026243;0;;52.0105;0;39.90832;0;1.1325967;0;48.901936;0;10;117;47.968773;0;32.71509;0;45.939228;0;67.40331;0;26.833569;0;0.303244;0;6;1289;36181;6337;0.02072682;0;;32.596684;0
Delhi;13.44268854;0;;49.12527649;0;75.03373819;0;17.27345469;0;35.38707742;0;3;7;50.85461492;0;7.545086492;0;33.89677936;0;2.020404081;0;11.20107962;0;0.920132499;0;7;411;9999;1120;0.020108586;0;;97.97959592;0
Delhi;13.02249252;0;;49.58949097;0;76.03458213;0;17.90713389;0;35.20610097;0;5;44;50.40085;0;6.582132565;0;33.86427261;0;1.843807317;0;11.3314121;0;1.129682997;0;7;406;10359;1128;0.009659036;0;;98.15619268;0
Delhi;6.901422662;0;;48.32424793;0;73.28260637;0;17.57643023;0;39.01725356;0;8;81;51.67575207;0;10.15968278;0;36.50489355;0;1.705176067;0;12.12088736;0;1.157432215;0;7;751;19723;2911;0;0;;98.29482393;0
Delhi;5.6440697;0;;46.29012;0;70.02144;0;15.026554;0;40.19577;0;10;118;53.69946;0;13.311897;0;39.133606;0;1.6349058;0;14.54448;0;1.0932475;0;7;857;23968;4183;0.010421009;0;;98.3651;0
Rajasthan;9.622475152;0;;47.77782247;0;17.02759197;0;0;0;53.57887143;0;3;8;52.21815549;0;45.61036789;0;36.79865341;0;74.81163835;0;21.14548495;0;15.86120401;0;8;1300;24952;3581;0.004022041;0;;25.18836165;0
Rajasthan;9.405670665;0;;46.85986565;0;18.36028643;0;0;0;52.2706029;0;5;45;53.14013435;0;46.74149167;0;38.32372644;0;73.69138495;0;20.04988334;0;14.46616783;0;8;1279;25676;3590;0;0;;26.30861505;0
Rajasthan;7.314199141;0;;48.33382483;0;17.7703912;0;0;0;50.76172039;0;8;82;51.6577495;0;49.09656524;0;41.92408046;0;73.61333221;0;18.97212989;0;14.05011506;0;8;2057;47006;7945;0.008425665;0;;26.38666779;0
Rajasthan;5.910484;0;;47.568398;0;18.610306;0;0;0;50.529297;0;10;119;52.422314;0;50.720097;0;43.56022;0;71.67796;0;17.025156;0;13.401291;0;8;2026;53789;9884;0.009289795;0;;28.322035;0
Uttar Pradesh;5.980900231;0;;50.21424132;0;19.13580247;0;19.32629315;0;46.40494117;0;3;9;49.78412325;0;55.93258979;0;28.28786545;0;76.72989798;0;23.55850168;0;0.890852974;0;9;2740;61362;7489;0.00163543;0;;23.27010202;0
Uttar Pradesh;5.938959826;0;;50.66831528;0;17.93148418;0;19.51417004;0;46.74711928;0;5;46;49.32698929;0;56.72702346;0;27.79975086;0;77.76705076;0;23.8150173;0;0.983096755;0;9;2897;64220;7847;0.004695424;0;;22.23294924;0
Uttar Pradesh;4.163749375;0;;51.77080499;0;19.26185823;0;32.07973137;0;35.34900336;0;8;83;48.21344179;0;54.73441109;0;28.4075159;0;81.61606058;0;24.55143009;0;1.091075976;0;9;5550;138828;19689;0.015753219;0;;18.38393942;0
Uttar Pradesh;4.4345374;0;;53.98748;0;21.568121;0;35.712597;0;24.897997;0;10;120;46.004635;0;54.04372;0;34.95487;0;78.53936;0;22.989433;0;1.1051061;0;9;5847;158659;26970;0.007885067;0;;21.46064;0
Bihar;5.134419628;0;;46.99827831;0;18.72940013;0;11.90573847;0;50.13982624;0;3;10;52.99797889;0;61.97264338;0;32.82001566;0;81.30057049;0;15.91545814;0;2.282465392;0;10;1232;26819;3240;0.003742795;0;;18.69942951;0
Bihar;5.339654904;0;;46.40273781;0;22.08416313;0;13.00715063;0;47.59443494;0;5;47;53.58948433;0;59.48566975;0;34.05875952;0;78.30327996;0;14.02285912;0;3.251363754;0;10;1201;25732;3148;0.007777864;0;;21.69672004;0
